corpus,doc_id,chunk_id,assigned_corpus,assignment_score
Project2025,project2025,c0165,Project2025,0.7644020830697202
Project2025,project2025,c0166,Project2025,0.7853867461964612
Project2025,project2025,c0167,Project2025,0.720996791510929
Project2025,project2025,c0168,Project2025,0.6304294601620752
Project2025,project2025,c0169,Project2025,0.4392283534209982
Project2025,project2025,c0170,Project2025,0.45741886345773336
Project2025,project2025,c0171,Project2025,0.4832289646436181
Project2025,project2025,c0172,Project2025,0.6192294487821537
Project2025,project2025,c0173,Project2025,0.7930933746335989
Project2025,project2025,c0174,Project2025,0.7346021961958753
Project2025,project2025,c0175,Project2025,0.7133325716372029
Project2025,project2025,c0176,Project2025,0.8199883120327831
Project2025,project2025,c0177,Project2025,0.7860163926578224
Project2025,project2025,c0178,Project2025,0.7664217705918919
Project2025,project2025,c0179,Project2025,0.7051181392429776
Project2025,project2025,c0180,Project2025,0.7301311437473078
Project2025,project2025,c0181,Project2025,0.7936981536451926
Project2025,project2025,c0182,Project2025,0.48339822972076774
Project2025,project2025,c0183,Project2025,0.4847183567833308
Project2025,project2025,c0184,Project2025,0.44371826543934706
Project2025,project2025,c0185,Project2025,0.37864071947950634
Project2025,project2025,c0186,Project2025,0.7312911665762726
Project2025,project2025,c0187,Project2025,0.6346249332244119
Project2025,project2025,c0188,Project2025,0.6801781213995454
Project2025,project2025,c0189,Project2025,0.656018853935409
Project2025,project2025,c0190,Project2025,0.6853703812615161
Project2025,project2025,c0191,Project2025,0.7361565313452072
Project2025,project2025,c0192,Project2025,0.6799932082890195
Project2025,project2025,c0193,Project2025,0.7070119476857857
Project2025,project2025,c0194,Project2025,0.6527506618329284
Project2025,project2025,c0195,Project2025,0.6310301701140066
Project2025,project2025,c0196,Project2025,0.7456097608182476
Project2025,project2025,c0197,Project2025,0.7316226004442509
Project2025,project2025,c0198,Project2025,0.7614886843011253
Project2025,project2025,c0199,Project2025,0.7019751985430396
Project2025,project2025,c0200,Project2025,0.6119423844783571
Project2025,project2025,c0201,Project2025,0.7227873323329135
Project2025,project2025,c0202,Project2025,0.6650933553414737
Project2025,project2025,c0203,Project2025,0.6675269000609069
Project2025,project2025,c0204,Project2025,0.6481775779413405
Project2025,project2025,c0205,Project2025,0.6512772193701719
Project2025,project2025,c0206,Project2025,0.6648113299738436
Project2025,project2025,c0207,Project2025,0.7142886873410805
Project2025,project2025,c0208,Project2025,0.7693541045792904
Project2025,project2025,c0209,Project2025,0.6623235525483916
Project2025,project2025,c0210,Project2025,0.7675906624611735
Project2025,project2025,c0211,Project2025,0.8254950286318091
Project2025,project2025,c0212,Project2025,0.7768596500364277
Project2025,project2025,c0213,Project2025,0.7563108218993565
Project2025,project2025,c0214,Project2025,0.7113580798567585
Project2025,project2025,c0215,Project2025,0.7474496792305495
Project2025,project2025,c0216,Project2025,0.6240030645605621
Project2025,project2025,c0217,Project2025,0.7566173766996201
Project2025,project2025,c0218,Project2025,0.791938731826842
Project2025,project2025,c0219,Project2025,0.774824355078056
Project2025,project2025,c0220,Project2025,0.7476563773600803
Project2025,project2025,c0221,Project2025,0.6029013992320371
Project2025,project2025,c0222,Project2025,0.7521939678403259
Project2025,project2025,c0223,Project2025,0.726512586977595
Project2025,project2025,c0224,Project2025,0.7350446760629318
Project2025,project2025,c0225,Project2025,0.7474552764629444
Project2025,project2025,c0226,Project2025,0.5734943242343733
Project2025,project2025,c0227,Project2025,0.5503748886361914
Project2025,project2025,c0228,Project2025,0.620362882398206
Project2025,project2025,c0229,Project2025,0.5647024304895218
Project2025,project2025,c0230,Project2025,0.5950753651204228
Project2025,project2025,c0231,Project2025,0.6767612757958517
Project2025,project2025,c0232,Project2025,0.5604882206744716
Project2025,project2025,c0233,Project2025,0.4585206160439911
Project2025,project2025,c0234,Project2025,0.6893186762342675
Project2025,project2025,c0235,Project2025,0.6708148454574819
Project2025,project2025,c0236,Project2025,0.6170913326113657
Project2025,project2025,c0237,Project2025,0.6408195005810005
Project2025,project2025,c0238,Project2025,0.6301086819377159
Project2025,project2025,c0239,Project2025,0.6561396002962333
Project2025,project2025,c0240,Project2025,0.6970143843808311
Project2025,project2025,c0241,Project2025,0.6319294998100737
Project2025,project2025,c0242,Project2025,0.6722825046511116
Project2025,project2025,c0243,Project2025,0.49974093116585755
Project2025,project2025,c0244,Project2025,0.4941464884706477
Project2025,project2025,c0245,Project2025,0.4345992084498738
Project2025,project2025,c0246,Project2025,0.6677521859989443
Project2025,project2025,c0247,Project2025,0.39752226701313637
Project2025,project2025,c0248,Project2025,0.3163504794805018
Project2025,project2025,c0249,Project2025,0.2508849070887575
Project2025,project2025,c0250,Project2025,0.5383465240079045
Project2025,project2025,c0251,Project2025,0.7293021132122008
Project2025,project2025,c0252,Project2025,0.7891011664696095
WikiStylometry,wikistylometry,c0000,WikiStylometry,0.8145663774439155
WikiStylometry,wikistylometry,c0001,WikiStylometry,0.784207898268127
WikiStylometry,wikistylometry,c0002,WikiStylometry,0.7763711079285366
WikiStylometry,wikistylometry,c0003,WikiStylometry,0.8286959495941204
WikiStylometry,wikistylometry,c0004,WikiStylometry,0.707037480738163
WikiStylometry,wikistylometry,c0005,WikiStylometry,0.7103090053623325
WikiStylometry,wikistylometry,c0006,WikiStylometry,0.7399151732135062
